claim_id	section_ref	claim	value	checkpoint_scope	artifact	produced_by	artifact_date	sha256	status	action
A1	report.md §8.2.0 line 729 / README / AGENTS	Standard Oct identity: DT profit/ep	16208.59 (PPO 2352.70; ratio 6.889)	physics-v2 v2cal	eval_output/physics_v2/standard_v2cal/evaluation_summary.json	docs/physics_v2_rebaseline_commands.md §3 (sdp_teacher_standard.json)	2026-09-14T22:08	98e23e54dda42ab2acabdfc199c119083c7ef4a4922f0f23d59c66e02275d541	TRACED	none
A2	report.md §8.2.0 line 730	Dispatch-matched identity: DT profit/ep	40038.53 (PPO 22529.92; ratio 1.777)	physics-v2 v2cal	eval_output/physics_v2/dispatch_v2cal/evaluation_summary.json	docs/physics_v2_rebaseline_commands.md §3 (sdp_teacher_dispatch.json)	2026-09-14T23:04	f4278e40ffc0d42187c8458e9411fb881efb65b7e4d6224e1b9068515064e895	TRACED	none
A3	report.md §8.2.0 line 731	Expanded broad-2024 identity: DT profit/ep	32146.28 (PPO 19503.53; ratio 1.648)	physics-v2 v2cal	eval_output/physics_v2/expanded_v2cal/evaluation_summary.json	docs/physics_v2_rebaseline_commands.md §3 (sdp_teacher_expanded.json)	2026-09-15T01:53	ca0ce97eb12103eb2f2ee202ef26450ae1e7464343409c9938ab7c66e5e0d72d	TRACED	none
A4	report.md §8.2.0 line 732	2025 OOD identity: DT profit/ep	30791.31 (PPO 6497.51; ratio 4.739)	physics-v2 v2cal	eval_output/physics_v2/2025_v2cal/evaluation_summary.json	docs/physics_v2_rebaseline_commands.md §3 (sdp_teacher_2025.json)	2026-09-14T23:35	6aff64888dd28e8b487e3df8b0d9251e14d48706cd2be9925959b48cbf6550c0	TRACED	none
A5	AGENTS.md header	Shipped checkpoint identity/architecture	8x768 GQA, ctx=210, rope_enabled=true, max_timestep=2016, mixed head, return_scale=23284.83	physics-v2 v2cal	models/aemo/dt/aemo_dt_sdp_jtsoc_v2cal.pt + .meta.json + _loss_surface_manifest.json	scripts/pretrain_decision_transformer.py (surface-preset legacy)	2026-09-14T21:45	73fe14bd111b1620b4784c7f05919c499261cbda0365ede8a815f7672981e09f	TRACED	none
A6	AGENTS.md / HF card	Training corpus for shipped checkpoint	dt_trajectories_jtsoc_v2cal_conservative.parquet (288 train / 32 val eps, episode split)	physics-v2 v2cal	data/aemo_dt_sdp/dt_trajectories_jtsoc_v2cal_conservative.parquet	scripts/generate_sdp_dt_trajectories.py --deg-calibration 0.12 --rtg-mode j_t_soc	2026-09-14T17:06	not hashed (401MB; hash on demand)	TRACED	NOTE: conservative-only (not the v1 640-eps conservative+aggressive combine); state in paper
B1	report.md §8.2.0 line 735	v2cal significance: 3/4 identity CIs exclude zero; expanded marginal CI [-0.6k, 23.9k]; 25/27; p=0.0004	standard [12908,14966] excl0; dispatch [6090,25825] excl0; expanded [-622,23926] NOT excl0; 2025 [12780,44663] excl0	physics-v2 v2cal	(was prose-only) -> paper/audit/artifacts/stagec_v2cal_significance.json	paper/audit/reproduce_significance.py (bootstrap 10k, seed 42, Wilcoxon)	2026-09-21 (regenerated)	see artifact	FIXED	Canonical artifact now saved; remove reliance on unsaved prose
B2	eval_output/stagec_statistical_significance.json	"Stage C DT statistical significance" artifact	standard DT 11572.56; dispatch 35320.48; expanded 34760.91; 2025 25861.51	v1 fullcorpus (stagec_jtsoc_*_rtgjtsoc)	eval_output/stagec_statistical_significance.json	scripts/stagec_statistical_significance.py (hardcodes v1 SURFACES)	2026-08-23T22:44	see artifact	MISLABELLED	Script/docs imply it covers shipped v2cal; it covers v1 only. Fix SURFACES or rename + document
C1	report.md §8.2.0 line 733 / §8.2.10 line 1451	Impact gate per-battery multipliers small/hornsdale/torrens	3.210 / 2.594 / 2.024	ASTERISK v1 fullcorpus (label stagec_fix_20260913), NOT v2cal	eval_output/phase3_impact/results.json	scripts/phase3_impact_eval.py --label stagec_fix_20260913 --rtg-mode auto	2026-09-13T21:53	see artifact	MISATTRIBUTED (now superseded)	Row presented under physics-v2 v2cal headline but provenance is v1; replaced by v2cal result C4
C2	report.md §8.2.10 line 1448-1453	"per-battery means" method	ratio-of-means over 3 cells/battery, each cell = best of RTG {0,5,10,20,50} (oracle-over-RTG)	v1 fullcorpus	eval_output/phase3_impact/results.json	manual/agent selection from RTG sweep	2026-09-13	see artifact	METHOD CONCERN (immaterial for v2cal)	For v1, best-RTG vs fixed-rtg0.0 moved ratios (e.g. hornsdale 2.594 -> 2.230). For v2cal the two agree to <1% (hornsdale 4.731 vs 4.705), so the shipped fixed policy is defensible
C3	report.md §8.2.0 line 725	"only verified setting that beats PPO on all four identity surfaces AND passes the market-impact gate"	V2CAL VERIFIED: 9/9 piecewise cells beat PPO	physics-v2 v2cal	eval_output/phase3_impact/results.json (label piecewise_merit_order_stagec_v2cal_auto_*; run 2026-09-21) + paper/audit/artifacts/stagec_v2cal_impact_analysis.json	scripts/phase3_impact_eval.py --checkpoint v2cal --rtg-mode auto	2026-09-21	see artifacts	FIXED	Gate run by this audit; no v2cal impact evidence existed before (results.json predated checkpoint)
C4	report.md §8.2.0 line 733 / §8.2.10 line 1451	Impact gate per-battery multipliers for the SHIPPED v2cal policy	fixed rtg0.0 ratio-of-means: small 4.360 / hornsdale 4.705 / torrens 4.665; paired diff $167,099 CI[$101,213,$227,362], 9/9 wins, p=0.0039	physics-v2 v2cal	eval_output/phase3_impact/results.json + paper/audit/artifacts/stagec_v2cal_impact_analysis.json	scripts/phase3_impact_eval.py --checkpoint v2cal --rtg-mode auto; selection=fixed_rtg0	2026-09-21	see artifacts	CORRECTED VALUE	Report currently shows stale v1 3.2x/2.6x/2.0x; v2cal is stronger. Best-RTG-per-cell makes no material difference for v2cal (4.36/4.73/4.67), so the shipped fixed policy is defensible
D1	report.md line 460	Summary table uses v1 numbers in the same doc as the v2cal headline	v1 $11.6k/$35.3k/$34.8k/$25.9k vs v2cal $16.2k/$40.0k/$32.1k/$30.8k	v1 fullcorpus	report.md (internal inconsistency)	-	-	-	STALE/INCONSISTENT	Reconcile to one canonical v2cal set
E1	report.md §8.2.0 line 725, §327, §1413	References to "§8.2.11" for the physics-v2 re-baseline	section does not exist (report ends at §8.2.10)	n/a	report.md	-	-	-	DANGLING	Add §8.2.11 or repoint references
F1	scripts/stagec_statistical_significance.py line 111 / report §8.2.0 line 727	Label "rtg_mode=auto" for identity surfaces	configs actually set rtg_mode=j_t_soc	physics-v2 v2cal	configs/aemo_autoresearch_evaluator.sdp_teacher_standard.json	policies[0].rtg_mode='j_t_soc'	2026-09-14	-	LABEL MISMATCH	Numerically equivalent on identity (auto->j_t_soc) but state the evaluated config, not "auto"
